Institution Name,State,Year,Revenue
Austin Community College District,Texas,2014,292637385
Austin Community College District,Texas,2013,286481711
Austin Community College District,Texas,2012,284095050
Austin Community College District,Texas,2011,284382400
Austin Community College District,Texas,2010,276692286
Austin Community College District,Texas,2009,230650839
Austin Community College District,Texas,2008,217931240
Austin Community College District,Texas,2007,202208787
Austin Community College District,Texas,2006,169442440
Austin Community College District,Texas,2005,155623549
Austin Community College District,Texas,2004,141295530
Austin Community College District,Texas,2003,125545785
Austin Community College District,Texas,2002,122206126
Austin Peay State University,Tennessee,2022,204245753
Austin Peay State University,Tennessee,2021,189645749
Austin Peay State University,Tennessee,2020,185789888
Austin Peay State University,Tennessee,2019,179404875
Austin Peay State University,Tennessee,2018,167044476
Austin Peay State University,Tennessee,2017,165950053
Austin Peay State University,Tennessee,2016,146229576
Austin Peay State University,Tennessee,2015,142972686
Austin Peay State University,Tennessee,2014,141333055
Austin Peay State University,Tennessee,2013,136477962
Austin Peay State University,Tennessee,2012,131272195
Austin Peay State University,Tennessee,2011,141142539
Austin Peay State University,Tennessee,2010,132271311
Austin Peay State University,Tennessee,2009,113451939
Austin Peay State University,Tennessee,2008,108404016
Austin Peay State University,Tennessee,2007,103032397
Austin Peay State University,Tennessee,2006,98398401
Austin Peay State University,Tennessee,2005,86371572
Austin Peay State University,Tennessee,2004,79292007
Austin Peay State University,Tennessee,2003,71368971
Austin Peay State University,Tennessee,2002,70067788
Ball State University,Indiana,2022,506909158
Ball State University,Indiana,2021,516962098
Ball State University,Indiana,2020,547127895
Ball State University,Indiana,2019,544018821
Ball State University,Indiana,2018,525882434
Ball State University,Indiana,2017,505180104
Ball State University,Indiana,2016,501469259
Ball State University,Indiana,2015,490203654
Ball State University,Indiana,2014,471361488
Ball State University,Indiana,2013,449299380
Ball State University,Indiana,2012,455815337
Ball State University,Indiana,2011,451076058
Ball State University,Indiana,2010,437646000
Ball State University,Indiana,2009,431898878
Ball State University,Indiana,2008,421539325
Ball State University,Indiana,2007,399638039
Ball State University,Indiana,2006,366254843
Ball State University,Indiana,2005,351627332
Ball State University,Indiana,2004,338689125
Ball State University,Indiana,2003,325485957
Ball State University,Indiana,2002,311635467
Bismarck State College,North Dakota,2022,50243564
Bismarck State College,North Dakota,2021,54059133
Bismarck State College,North Dakota,2020,46264259
Bismarck State College,North Dakota,2019,51118780
Bismarck State College,North Dakota,2018,45000694
Bismarck State College,North Dakota,2017,50071215
Bismarck State College,North Dakota,2016,55411582
Bismarck State College,North Dakota,2015,63854361
Bismarck State College,North Dakota,2014,51822329
Bismarck State College,North Dakota,2013,47487012
Bismarck State College,North Dakota,2012,46389433
Bismarck State College,North Dakota,2011,47703923
Bismarck State College,North Dakota,2010,41286965
Bismarck State College,North Dakota,2009,41027282
Bismarck State College,North Dakota,2008,33057821
Bismarck State College,North Dakota,2007,28739548
Bismarck State College,North Dakota,2006,27100475
Bismarck State College,North Dakota,2005,26939255
Bismarck State College,North Dakota,2004,24785489
Bismarck State College,North Dakota,2003,23531330
Bismarck State College,North Dakota,2002,21520346
Black Hills State University,South Dakota,2022,53618033
Black Hills State University,South Dakota,2021,49597750
Black Hills State University,South Dakota,2020,48823797
Black Hills State University,South Dakota,2019,49828657
Black Hills State University,South Dakota,2018,50809711
Black Hills State University,South Dakota,2017,52235039
Black Hills State University,South Dakota,2016,51796606
Black Hills State University,South Dakota,2015,49868131
Black Hills State University,South Dakota,2014,50918146
Black Hills State University,South Dakota,2013,59362562
Black Hills State University,South Dakota,2012,61436561
Black Hills State University,South Dakota,2011,70289511
Black Hills State University,South Dakota,2010,46220283
Black Hills State University,South Dakota,2009,44017281
Black Hills State University,South Dakota,2008,42654028
Black Hills State University,South Dakota,2007,38767458
Black Hills State University,South Dakota,2006,36030627
Black Hills State University,South Dakota,2005,34387343
Black Hills State University,South Dakota,2004,34171251
Black Hills State University,South Dakota,2003,37423898
Black Hills State University,South Dakota,2002,28731985
Bluefield State University,West Virginia,2022,27542400
Bluefield State University,West Virginia,2021,48160441
Bluefield State University,West Virginia,2020,21424220
Bluefield State University,West Virginia,2019,21725342
Bluefield State University,West Virginia,2018,20491255
Bluefield State University,West Virginia,2017,19720303
Bluefield State University,West Virginia,2016,20074300
Bluefield State University,West Virginia,2015,20136800
Bluefield State University,West Virginia,2014,24747822
Bluefield State University,West Virginia,2013,22575619
Bluefield State University,West Virginia,2012,25263604
Bluefield State University,West Virginia,2011,26714441
Bluefield State University,West Virginia,2010,23199009
Bluefield State University,West Virginia,2009,23923446
Bluefield State University,West Virginia,2008,22569164
Bluefield State University,West Virginia,2007,20201857
Bluefield State University,West Virginia,2006,19764320
Bluefield State University,West Virginia,2005,24680768
Bluefield State University,West Virginia,2004,27584151
Bluefield State University,West Virginia,2003,26012172
Bluefield State University,West Virginia,2002,21028085
Boise State University,Idaho,2022,538980334
Boise State University,Idaho,2021,462759957
Boise State University,Idaho,2020,477816784
Boise State University,Idaho,2019,454532642
Boise State University,Idaho,2018,443009972
Boise State University,Idaho,2017,399465577
Boise State University,Idaho,2016,374858425
Boise State University,Idaho,2015,361821536
Boise State University,Idaho,2014,347011690
Boise State University,Idaho,2013,372546426
Boise State University,Idaho,2012,339831313
Boise State University,Idaho,2011,313364719
Boise State University,Idaho,2010,297253155
Boise State University,Idaho,2009,290525631
Boise State University,Idaho,2008,296811112
Boise State University,Idaho,2007,280273431
Boise State University,Idaho,2006,241325946
Boise State University,Idaho,2005,228008288
Boise State University,Idaho,2004,210625001
Boise State University,Idaho,2003,201227077
Boise State University,Idaho,2002,197362690
Bowie State University,Maryland,2022,183503008
Bowie State University,Maryland,2021,147441792
Bowie State University,Maryland,2020,134901512
Bowie State University,Maryland,2019,126257655
Bowie State University,Maryland,2018,128627741
Bowie State University,Maryland,2017,148600103
